[0.6676084  0.03608274],[1.3702178  0.18690062],[2.1933765  0.54023314],[3.0819144 1.1078959],[3.9330747 1.7297325],[4.8346124 2.353457 ],[5.7911425 2.872631 ],[6.6745057 3.3549795],,
[1.0033423  0.11069536],[1.9390188 0.4198184],[2.8324978 0.9925771],[3.6279693 1.7659774],[4.268137  2.6346679],[4.77925   3.6435852],[5.1611857 4.7200265],[5.487473  5.8003106],,
[1.2780523  0.05700779],[2.5664437  0.17370701],[3.836319  0.2740693],[5.0423527 0.2742424],[6.162885   0.14116502],[ 7.2221174  -0.13182831],[ 8.1787615 -0.4384091],[ 9.067013   -0.79976773],,
[1.1786157  0.09339142],[2.3402767  0.34090567],[3.5401998 0.7220707],[4.775527 1.184649],[6.00394   1.6978588],[7.194648  2.2741504],[8.323002  2.8821955],[9.412078  3.5243635],,
[1.1390741 0.1136446],[2.346133   0.45995617],[3.574383  1.0299067],[4.7589264 1.740674 ],[5.892564 2.558032],[6.98359   3.4383793],[8.02918  4.371896],[9.050708 5.357917],,
[1.1651839  0.08758211],[2.2943037  0.30944967],[3.3965528  0.64270496],[4.438333  1.0242419],[5.5026793 1.4712491],[6.585543  1.9487348],[7.6879663 2.4204803],[8.763229  2.8517756],,
[1.1598554  0.12644339],[2.359923   0.44308138],[3.601796  0.8939581],[4.8840647 1.3732414],[6.1677227 1.8148184],[7.4693365 2.2245069],[8.748487  2.5865264],[10.019012   2.9322743],,
[1.2993231 0.077209 ],[2.6310983  0.24998856],[3.9883647  0.46245718],[5.3677073  0.66314745],[6.7321095  0.83539724],[8.0931835  0.99235106],[9.424485  1.1332417],[10.738939   1.2872472],,
[1.0963856  0.13180923],[2.2488797  0.54726696],[3.3825746 1.1833158],[4.4945903 1.9517407],[5.6098423 2.7363667],[6.736795 3.49993 ],[7.8908052 4.2157726],[9.037286 4.908283],,
[1.144909  0.1173687],[2.3246765 0.4433298],[3.5006104 0.9153619],[4.660589  1.4611583],[5.7990847 2.0147061],[6.934781  2.5573401],[8.07028   3.0801334],[9.19181   3.5494018],,
[1.2901777  0.05859756],[2.6537697  0.20727396],[3.9990418 0.394588 ],[5.340958   0.60561657],[6.669143  0.8047557],[7.9985595 0.988832 ],[9.25972   1.1771369],[10.396081   1.3591809],,
[1.2581373  0.05971956],[2.520944  0.2086978],[3.7710836 0.4395728],[4.977707   0.74949265],[6.176828  1.1571121],[7.3765464 1.6478109],[8.535272 2.216648],[9.65878   2.8530684],,
[1.3025833  0.03964996],[2.6014028 0.1621089],[3.9044728  0.37013817],[5.2260547  0.64637375],[6.5237894 0.9915805],[7.8082747 1.3940663],[9.06905   1.8489804],[10.279984   2.3394938],,
[1.1690183  0.05400658],[2.353944   0.22771406],[3.58187    0.46914148],[4.8152337 0.73948  ],[6.0120416 1.0315614],[7.204777  1.3028655],[8.408483  1.5788193],[9.627009  1.8168106],,
